統計期,行政區別,地址,土地面積[平方公里],實際編組里數[里],戶籍登記里數[里],實際編組鄰數[鄰],戶籍登記鄰數[鄰],戶數[戶],人口數/總計[人],人口數/男[人],人口數/女[人],性比例[男/百女],戶量[人/戶],人口密度[人/平方公里]
114年 4月底,總計,,271.7997,456,456,9640,9582,1079488,2465350,1161694,1303656,89.11,2.28,9070
114年 4月底,松山區,松山區,9.2878,33,33,766,759,81212,189665,88157,101508,86.85,2.34,20421
114年 4月底,信義區,信義區,11.2077,41,41,915,912,90582,203235,95422,107813,88.51,2.24,18134
114年 4月底,大安區,大安區,11.3614,53,53,1030,1021,120857,286026,132029,153997,85.73,2.37,25175
114年 4月底,中山區,中山區,13.6821,42,42,872,869,103351,214071,97885,116186,84.25,2.07,15646
114年 4月底,中正區,中正區,7.6071,31,31,583,581,66046,146419,69004,77415,89.14,2.22,19248
114年 4月底,大同區,大同區,5.6815,25,25,527,522,54407,118026,56356,61670,91.38,2.17,20774
114年 4月底,萬華區,萬華區,8.8522,36,36,731,726,80848,170139,82069,88070,93.19,2.1,19220
114年 4月底,文山區,文山區,31.509,43,43,1013,1005,110545,256051,121261,134790,89.96,2.32,8126
114年 4月底,南港區,南港區,21.8424,20,20,462,455,48911,111710,53752,57958,92.74,2.28,5114
114年 4月底,內湖區,內湖區,31.5787,39,39,917,915,112312,270573,127752,142821,89.45,2.41,8568
114年 4月底,士林區,士林區,62.3682,51,51,996,995,109524,261292,124842,136450,91.49,2.39,4190
114年 4月底,北投區,北投區,56.8216,42,42,828,822,100893,238143,113165,124978,90.55,2.36,4191
