統計期,行政區別,地址,緯度,經度,土地面積[平方公里],實際編組里數[里],戶籍登記里數[里],實際編組鄰數[鄰],戶籍登記鄰數[鄰],戶數[戶],人口數/總計[人],人口數/男[人],人口數/女[人],性比例[男/百女],戶量[人/戶],人口密度[人/平方公里],緯度,經度
114年 4月底,總計,,,,271.7997,456,456,9640,9582,1079488,2465350,1161694,1303656,89.11,2.28,9070,,
114年 4月底,松山區,松山區,25.0541591,121.5638621,9.2878,33,33,766,759,81212,189665,88157,101508,86.85,2.34,20421,25.0541591,121.5638621
114年 4月底,信義區,信義區,25.0409201,121.5720055,11.2077,41,41,915,912,90582,203235,95422,107813,88.51,2.24,18134,25.0409201,121.5720055
114年 4月底,大安區,大安區,25.0249441,121.5433783,11.3614,53,53,1030,1021,120857,286026,132029,153997,85.73,2.37,25175,25.0249441,121.5433783
114年 4月底,中山區,中山區,25.0792018,121.5427093,13.6821,42,42,872,869,103351,214071,97885,116186,84.25,2.07,15646,25.0792018,121.5427093
114年 4月底,中正區,中正區,25.0421407,121.5198716,7.6071,31,31,583,581,66046,146419,69004,77415,89.14,2.22,19248,25.0421407,121.5198716
114年 4月底,大同區,大同區,25.0627243,121.5113064,5.6815,25,25,527,522,54407,118026,56356,61670,91.38,2.17,20774,25.0627243,121.5113064
114年 4月底,萬華區,萬華區,25.0262857,121.4970294,8.8522,36,36,731,726,80848,170139,82069,88070,93.19,2.1,19220,25.0262857,121.4970294
114年 4月底,文山區,文山區,24.9887396,121.5601762,31.509,43,43,1013,1005,110545,256051,121261,134790,89.96,2.32,8126,24.9887396,121.5601762
114年 4月底,南港區,南港區,25.0312347,121.6111949,21.8424,20,20,462,455,48911,111710,53752,57958,92.74,2.28,5114,25.0312347,121.6111949
114年 4月底,內湖區,內湖區,25.0689422,121.5909027,31.5787,39,39,917,915,112312,270573,127752,142821,89.45,2.41,8568,25.0689422,121.5909027
114年 4月底,士林區,士林區,25.0950492,121.5246077,62.3682,51,51,996,995,109524,261292,124842,136450,91.49,2.39,4190,25.0950492,121.5246077
114年 4月底,北投區,北投區,25.1151759,121.515018,56.8216,42,42,828,822,100893,238143,113165,124978,90.55,2.36,4191,25.1151759,121.515018
