機構名稱,地址,緯度,經度,聯絡電話,緯度.1,經度.1,district
新北市政府委託社團法人台北市康復之友協會辦理新北市慈芳關懷中心,新北市土城區中正路18號6樓,24.974946,121.443014,02-82621305,24.974946,121.443014,土城區
新北市政府社會局委託天主教耕莘醫療財團法人永和耕莘醫院辦理新北市愛維養護中心,新北市八里區華富山35號,25.1443896,121.3983016,02-86304104,25.1443896,121.3983016,八里區
新北市政府社會局委託社團法人新北市自閉症服務協進會辦理新北市自閉症潛能發展中心,新北市三重區溪尾街73號1樓,25.0778982,121.490831,02-29822558,25.0778982,121.490831,三重區
新北市政府社會局委託財團法人中華民國唐氏症基金會辦理新北市愛家發展中心,新北市泰山區明志路一段205號2樓之2,25.0612873,121.4326629,02-29003553,25.0612873,121.4326629,泰山區
新北市政府社會局委託財團法人中華民國唐氏症基金會辦理新北市愛樂發展中心,新北市五股區五權路7巷6號1樓,25.0651613,121.4484237,02-22997222,25.0651613,121.4484237,五股區
新北市政府社會局委託財團法人伊甸社會福利基金會辦理新北市愛德養護中心,新北市淡水區沙崙路300號4-6樓,25.1869792,121.4277064,02-28057964,25.1869792,121.4277064,淡水區
新北市政府社會局委託財團法人伊甸社會福利基金會辦理新北市愛悅養護中心,新北市三重區光復路二段126巷6號,25.0586855,121.4710019,02-22789525,25.0586855,121.4710019,三重區
新北市政府社會局委託財團法人伊甸社會福利基金會辦理新北市愛明發展中心,新北市板橋區廣權路130號3樓,24.993075,121.465551,02-29636866,24.993075,121.465551,板橋區
新北市政府社會局委託財團法人伊甸社會福利基金會辦理新北市愛滬發展中心,新北市淡水區沙崙路300號9樓,25.187183,121.427566,02-28052056,25.187183,121.427566,淡水區
新北市政府社會局委託財團法人天主教光仁社會福利基金會辦理新北市聖心兒童發展中心,新北市三重區溪尾街73號1樓,25.0778982,121.490831,02-29828424,25.0778982,121.490831,三重區
新北市政府社會局委託財團法人心路社會福利基金會辦理新北市愛兒兒童發展中心,新北市新店區中正路263巷16號1-2樓,24.9728789,121.537986,02-29156786,24.9728789,121.537986,新店區
新北市政府社會局委託財團法人心路社會福利基金會辦理新北市愛重服務中心,新北市三重區光復路二段126巷2號,25.0588066,121.4711798,02-85122278,25.0588066,121.4711798,三重區
新北市政府社會局委託財團法人第一社會福利基金會辦理新北市愛智發展中心,新北市板橋區中正路10號1樓,25.0142287,121.4566016,02-29688525,25.0142287,121.4566016,板橋區
新北市政府社會局委託財團法人第一社會福利基金會辦理新北市愛立發展中心,新北市板橋區廣權路130號4樓,24.993075,121.465551,02-29541149,24.993075,121.465551,板橋區
新北市政府社會局委託財團法人育成社會福利基金會辦理新北市愛育發展中心,新北市淡水區沙崙路300號2-3樓,25.1869792,121.4277064,02-28053791,25.1869792,121.4277064,淡水區
新北市立八里愛心教養院,新北市八里區華富山37號,25.1443896,121.3983016,02-26106677,25.1443896,121.3983016,八里區
財團法人中華啟能基金會附設春暉啟能中心,新北市三峽區大埔路220號,24.8926504,121.3731812,02-26713001,24.8926504,121.3731812,三峽區
財團法人伊甸社會福利基金會附設新北市三峽身心障礙福利服務中心,新北市三峽區國光街12巷10號,24.9371699,121.376086,02-26741778,24.9371699,121.376086,三峽區
財團法人創世社會福利基金會附設新北市私立板橋創世清寒植物人安養院,新北市板橋區四川路2段16巷10號3樓,24.997261,121.45627,02-89664306,24.997261,121.45627,板橋區
財團法人台灣兒童暨家庭扶助基金會附設新北市私立家扶發展學園,新北市板橋區四川路二段245巷119號,24.992763,121.4531391,02-89662926,24.992763,121.4531391,板橋區
財團法人台灣省私立佛教懷仁社會福利慈善事業基金會附設新北市私立佛教中道淨苑,新北市樹林區學成路683、685號1-3樓,24.9465678,121.3828774,02-89701988,24.9465678,121.3828774,樹林區
財團法人新北市私立明新兒童發展中心,新北市中和區圓通路296巷31弄1號,24.990421,121.4885287,02-22473769,24.990421,121.4885287,中和區
財團法人新北市私立樂山園社會福利慈善事業基金會附設樂山教養院,新北市八里區中華路三段187號,25.1287052,121.3934508,02-26101643,25.1287052,121.3934508,八里區
財團法人第一社會福利基金會附設新北市私立中和發展中心,新北市中和區建一路150號2樓之2、2樓之3,24.9981925,121.4874652,02-82263522,24.9981925,121.4874652,中和區
財團法人台灣省私立台灣盲人重建院,新北市新莊區忠孝里中正路384號,25.0342476,121.4428736,02-29985588,25.0342476,121.4428736,新莊區
臺北市政府社會局委託財團法人第一社會福利基金會經營管理崇愛發展中心,新北市中和區正行里7鄰圓通路143之1號,24.9954371,121.4982997,02-22460820,24.9954371,121.4982997,中和區
